Title,Genre,Rating,Votes,Duration
1. Mufasa: The Lion King,Adventure,6.6, (54K),1h 58m
2. Moana 2,Adventure,6.6, (95K),1h 40m
3. Flow,Adventure,7.9, (66K),1h 25m
4. Twisters,Adventure,6.5, (163K),2h 2m
5. Gladiator II,Adventure,6.5, (222K),2h 28m
6. Sonic the Hedgehog 3,Adventure,6.9, (55K),1h 50m
7. Venom: The Last Dance,Adventure,6.0, (112K),1h 50m
8. The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,7.0, (3.3K),1h 31m
9. Deadpool & Wolverine,Adventure,7.6, (485K),2h 8m
10. Dune: Part Two,Adventure,8.5, (618K),2h 46m
11. Solo Leveling: ReAwakening,Adventure,8.9, (9.9K),2h 1m
12. Furiosa: A Mad Max Saga,Adventure,7.5, (282K),2h 28m
13. Paddington in Peru,Adventure,6.7, (18K),1h 46m
14. Borderlands,Adventure,4.7, (47K),1h 41m
15. The Lord of the Rings: The War of the Rohirrim,Adventure,6.3, (29K),2h 14m
16. The Count of Monte-Cristo,Adventure,7.6, (33K),2h 58m
17. Despicable Me 4,Adventure,6.2, (64K),1h 34m
18. Transformers One,Adventure,7.6, (48K),1h 44m
19. Inside Out 2,Adventure,7.5, (213K),1h 36m
20. The Return,Adventure,6.2, (7.8K),1h 56m
21. Madame Web,Adventure,4.0, (100K),1h 56m
22. Damsel,Adventure,6.1, (109K),1h 50m
23. Red One,Adventure,6.3, (138K),2h 3m
24. Bad Boys: Ride or Die,Adventure,6.5, (99K),1h 55m
25. Kingdom of the Planet of the Apes,Adventure,6.9, (150K),2h 25m
26. Freaky Tales,Adventure,6.5, (407),1h 46m
27. Godzilla x Kong: The New Empire,Adventure,6.1, (120K),1h 55m
28. Love Lies Bleeding,Adventure,6.6, (56K),1h 44m
29. Ghostbusters: Frozen Empire,Adventure,6.1, (93K),1h 55m
30. Uglies,Adventure,4.7, (32K),1h 40m
31. Attack on Titan the Movie: The Last Attack,Adventure,9.2, (15K),2h 25m
32. Spellbound,Adventure,5.6, (7K),1h 49m
33. Spaceman,Adventure,5.7, (43K),1h 47m
34. Kung Fu Panda 4,Adventure,6.3, (67K),1h 34m
35. Wallace & Gromit: Vengeance Most Fowl,Adventure,7.5, (34K),1h 22m
36. Harold and the Purple Crayon,Adventure,5.7, (8.1K),1h 30m
37. The Garfield Movie,Adventure,5.7, (24K),1h 41m
38. Descendants: The Rise of Red,Adventure,4.7, (6.9K),1h 31m
39. Survive,Adventure,4.6, (2.2K),1h 30m
40. Chuck Billy and the Marvelous Guava Tree,Adventure,7.5, (819),1h 30m
41. Atlas,Adventure,5.6, (56K),1h 58m
42. Arthur the King,Adventure,7.0, (34K),1h 47m
43. Rebel Moon - Part Two: The Scargiver,Adventure,5.3, (59K),2h 2m
44. My Penguin Friend,Adventure,6.7, (4.8K),1h 37m
45. Monster Summer,Adventure,5.7, (3.5K),1h 37m
46. Winner,Adventure,6.5, (2.4K),1h 43m
47. Night of the Zoopocalypse,Adventure,6.3, (375),1h 31m
48. Hitpig,Adventure,5.1, (886),1h 26m
49. Kalki 2898 AD,Adventure,7.0, (66K),3h
50. Megamind vs. The Doom Syndicate,Adventure,2.5, (5.5K),1h 23m
