Title,Genre,Rating,Votes,Duration
1. Anora,Comedy,7.5, (169K),2h 19m
2. Moana 2,Comedy,6.6, (95K),1h 40m
3. Riff Raff,Comedy,5.8, (2.3K),1h 43m
4. Sonic the Hedgehog 3,Comedy,6.9, (55K),1h 50m
5. A Real Pain,Comedy,7.1, (81K),1h 30m
6. The Day the Earth Blew Up: A Looney Tunes Movie,Comedy,7.0, (3.3K),1h 31m
7. Deadpool & Wolverine,Comedy,7.6, (484K),2h 8m
8. The Ministry of Ungentlemanly Warfare,Comedy,6.8, (133K),2h 2m
9. Emilia Pérez,Comedy,5.4, (86K),2h 12m
10. Paddington in Peru,Comedy,6.7, (18K),1h 46m
11. Borderlands,Comedy,4.7, (47K),1h 41m
12. The Fall Guy,Comedy,6.8, (218K),2h 6m
13. Challengers,Comedy,7.0, (153K),2h 11m
14. Saturday Night,Comedy,6.9, (29K),1h 49m
15. Y2K,Comedy,4.8, (11K),1h 31m
16. Despicable Me 4,Comedy,6.2, (64K),1h 34m
17. My Dead Friend Zoe,Comedy,6.7, (1.9K),1h 43m
18. Beetlejuice Beetlejuice,Comedy,6.7, (145K),1h 45m
19. Inside Out 2,Comedy,7.5, (213K),1h 36m
20. Kinds of Kindness,Comedy,6.5, (58K),2h 44m
21. A Different Man,Comedy,6.9, (28K),1h 52m
22. IF,Comedy,6.4, (57K),1h 44m
23. Fly Me to the Moon,Comedy,6.6, (49K),2h 12m
24. Upgraded,Comedy,6.1, (29K),1h 44m
25. Friendship,Comedy,7.3, (238),1h 40m
26. The Idea of You,Comedy,6.3, (72K),1h 55m
27. Red One,Comedy,6.3, (138K),2h 3m
28. Argylle,Comedy,5.6, (92K),2h 19m
29. My Old Ass,Comedy,6.9, (38K),1h 29m
30. Bad Boys: Ride or Die,Comedy,6.5, (99K),1h 55m
31. It's What's Inside,Comedy,6.6, (41K),1h 43m
32. Freaky Tales,Comedy,6.5, (407),1h 46m
33. Snack Shack,Comedy,7.0, (12K),1h 52m
34. Nightbitch,Comedy,5.6, (19K),1h 39m
35. Dead Talents Society,Comedy,7.1, (1.3K),1h 51m
36. Bob Trevino Likes It,Comedy,8.0, (549),1h 42m
37. Ghostbusters: Frozen Empire,Comedy,6.1, (93K),1h 55m
38. The Killer's Game,Comedy,5.8, (17K),1h 44m
39. Old Guy,Comedy,5.2, (2K),1h 34m
40. F*** Marry Kill,Comedy,5.3, (2.1K),1h 37m
41. Misericordia,Comedy,6.9, (1.8K),1h 44m
42. Sister Midnight,Comedy,6.6, (331),1h 47m
43. Distant,Comedy,5.7, (3.1K),1h 27m
44. Eephus,Comedy,7.1, (431),1h 39m
45. Sacramento,Comedy,5.9, (342),1h 24m
46. Thelma,Comedy,7.0, (22K),1h 38m
47. Bloody Axe Wound,Comedy,4.9, (718),1h 23m
48. Kneecap,Comedy,7.6, (17K),1h 45m
49. Miller's Girl,Comedy,5.2, (23K),1h 33m
50. Spellbound,Comedy,5.6, (7K),1h 49m
