Title,Genre,Rating,Votes,Duration
1. Trap,Crime,5.8, (134K),1h 45m
2. Riff Raff,Crime,5.8, (2.3K),1h 43m
3. Longlegs,Crime,6.6, (182K),1h 41m
4. Pushpa: The Rule - Part 2,Crime,6.1, (55K),3h 21m
5. The Order,Crime,6.8, (39K),1h 56m
6. Emilia Pérez,Crime,5.4, (86K),2h 12m
7. Juror #2,Crime,7.0, (94K),1h 54m
8. The Beekeeper,Crime,6.3, (154K),1h 45m
9. Carry-On,Crime,6.5, (162K),1h 59m
10. MaXXXine,Crime,6.3, (69K),1h 43m
11. Despicable Me 4,Crime,6.2, (64K),1h 34m
12. Wolfs,Crime,6.5, (80K),1h 48m
13. The Crow,Crime,4.7, (33K),1h 51m
14. Rebel Ridge,Crime,6.8, (87K),2h 11m
15. Lucky Baskhar,Crime,8.0, (30K),2h 28m
16. Bad Boys: Ride or Die,Crime,6.5, (99K),1h 55m
17. Marco,Crime,6.9, (20K),2h 25m
18. Freaky Tales,Crime,6.5, (407),1h 46m
19. The Girl with the Needle,Crime,7.5, (13K),2h 3m
20. Love Lies Bleeding,Crime,6.6, (56K),1h 44m
21. The Seed of the Sacred Fig,Crime,7.6, (13K),2h 47m
22. Misericordia,Crime,6.9, (1.8K),1h 44m
23. Santosh,Crime,7.0, (1.7K),2h 8m
24. Monkey Man,Crime,6.8, (91K),2h 1m
25. In Youth We Trust,Crime,6.7, (317),2h 12m
26. The Instigators,Crime,6.2, (37K),1h 41m
27. Greedy People,Crime,6.2, (11K),1h 52m
28. Sleeping Dogs,Crime,6.2, (21K),1h 50m
29. Beating Hearts,Crime,7.0, (4.3K),2h 46m
30. Brothers,Crime,5.4, (13K),1h 29m
31. Lift,Crime,5.5, (49K),1h 47m
32. Killer Heat,Crime,5.6, (13K),1h 35m
33. Maharaja,Crime,8.4, (66K),2h 21m
34. Long Gone Heroes,Crime,5.2, (1K),1h 41m
35. Force of Nature: The Dry 2,Crime,5.8, (6.9K),2h
36. Beverly Hills Cop: Axel F,Crime,6.4, (81K),1h 58m
37. Twilight of the Warriors: Walled In,Crime,7.0, (9.1K),2h 6m
38. Absolution,Crime,5.2, (7.6K),1h 52m
39. Armor,Crime,3.5, (3.7K),1h 29m
40. Boneyard,Crime,4.1, (4.9K),1h 36m
41. The Silent Hour,Crime,6.1, (7.2K),1h 39m
42. Trigger Warning,Crime,4.6, (19K),1h 46m
43. The Calendar Killer,Crime,5.4, (4K),1h 37m
44. The Shadow Strays,Crime,6.5, (9K),2h 24m
45. Hitpig,Crime,5.1, (886),1h 26m
46. Blackwater Lane,Crime,4.6, (1.8K),1h 48m
47. Mea Culpa,Crime,4.2, (7K),2h
48. The Thicket,Crime,5.8, (3K),1h 48m
49. Megamind vs. The Doom Syndicate,Crime,2.5, (5.5K),1h 23m
50. The Unholy Trinity,Crime,7.9, (49),1h 33m
