Title,Genre,Rating,Votes,Duration
1. Wicked,Fantasy,7.5, (150K),2h 40m
2. Mufasa: The Lion King,Fantasy,6.6, (54K),1h 58m
3. Moana 2,Fantasy,6.6, (95K),1h 40m
4. Nosferatu,Fantasy,7.2, (185K),2h 12m
5. Flow,Fantasy,7.9, (66K),1h 25m
6. Sonic the Hedgehog 3,Fantasy,6.9, (55K),1h 50m
7. Parthenope,Fantasy,6.6, (10K),2h 17m
8. Solo Leveling: ReAwakening,Fantasy,8.9, (9.9K),2h 1m
9. Better Man,Fantasy,7.6, (24K),2h 15m
10. The Lord of the Rings: The War of the Rohirrim,Fantasy,6.3, (29K),2h 14m
11. Megalopolis,Fantasy,4.7, (35K),2h 18m
12. Transformers One,Fantasy,7.6, (48K),1h 44m
13. Beetlejuice Beetlejuice,Fantasy,6.7, (145K),1h 45m
14. Inside Out 2,Fantasy,7.5, (213K),1h 36m
15. The Watchers,Fantasy,5.7, (56K),1h 42m
16. The Crow,Fantasy,4.7, (33K),1h 51m
17. IF,Fantasy,6.4, (57K),1h 44m
18. Damsel,Fantasy,6.1, (109K),1h 50m
19. Red One,Fantasy,6.3, (138K),2h 3m
20. The Life of Chuck,Fantasy,7.7, (473),1h 50m
21. Godzilla x Kong: The New Empire,Fantasy,6.1, (120K),1h 55m
22. Ghostbusters: Frozen Empire,Fantasy,6.1, (93K),1h 55m
23. Uglies,Fantasy,4.7, (32K),1h 40m
24. The End,Fantasy,5.5, (1.7K),2h 28m
25. Spellbound,Fantasy,5.6, (7K),1h 49m
26. Kung Fu Panda 4,Fantasy,6.3, (67K),1h 34m
27. Harold and the Purple Crayon,Fantasy,5.7, (8.1K),1h 30m
28. The Garfield Movie,Fantasy,5.7, (24K),1h 41m
29. Descendants: The Rise of Red,Fantasy,4.7, (6.9K),1h 31m
30. This Is Me... Now,Fantasy,4.1, (7.1K),1h 5m
31. Rebel Moon - Part Two: The Scargiver,Fantasy,5.3, (59K),2h 2m
32. Monster Summer,Fantasy,5.7, (3.5K),1h 37m
33. The Tearsmith,Fantasy,5.2, (12K),1h 43m
34. Irish Wish,Fantasy,5.2, (21K),1h 33m
35. Girl Haunts Boy,Fantasy,6.3, (2.9K),1h 40m
36. Kalki 2898 AD,Fantasy,7.0, (66K),3h
37. The Wonderful Story of Henry Sugar and Three More,Fantasy,7.1, (6.4K),1h 28m
38. Dear Santa,Fantasy,5.4, (18K),1h 47m
39. Orion and the Dark,Fantasy,6.3, (17K),1h 33m
40. Hagen,Fantasy,6.1, (1.1K),2h 19m
41. Family Pack,Fantasy,5.5, (8.8K),1h 34m
42. The American Society of Magical Negroes,Fantasy,3.7, (12K),1h 44m
43. Overlord: The Sacred Kingdom,Fantasy,7.0, (792),2h 15m
44. Thelma the Unicorn,Fantasy,5.7, (2.9K),1h 33m
45. The Thundermans Return,Fantasy,5.0, (1.8K),1h 10m
46. Buffalo Kids,Fantasy,6.6, (655),1h 33m
47. Hanu Man,Fantasy,7.7, (29K),2h 38m
48. Justice League: Crisis on Infinite Earths - Part One,Fantasy,6.2, (8.4K),1h 33m
49. The Balconettes,Fantasy,6.3, (780),1h 44m
50. Seven Cemeteries,Fantasy,4.5, (537),1h 24m
