Title,Genre,Rating,Votes,Duration
1. Moana 2,Adventure,6.7,86000,1h 40m
2. Flow,Adventure,7.9,57000,1h 25m
3. Gladiator II,Adventure,6.6,215000,2h 28m
4. Sonic the Hedgehog 3,Adventure,6.9,52000,1h 50m
5. Venom: The Last Dance,Adventure,6,107000,1h 50m
6. Dune: Part Two,Adventure,8.5,611000,2h 46m
7. Mufasa: The Lion King,Adventure,6.6,47000,1h 58m
8. The Lord of the Rings: The War of the Rohirrim,Adventure,6.3,27000,2h 14m
9. Furiosa: A Mad Max Saga,Adventure,7.5,279000,2h 28m
10. Deadpool & Wolverine,Adventure,7.6,479000,2h 8m
11. The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,6.9,16000,1h 31m
12. Borderlands,Adventure,4.7,45000,1h 41m
13. Paddington in Peru,Adventure,6.7,17000,1h 46m
14. Night of the Zoopocalypse,Adventure,6.2,311,1h 31m
15. Twisters,Adventure,6.5,159000,2h 2m
16. Civil War,Adventure,7,232000,1h 49m
17. Despicable Me 4,Adventure,6.2,62000,1h 34m
18. The Count of Monte-Cristo,Adventure,7.6,32000,2h 58m
19. Inside Out 2,Adventure,7.5,211000,1h 36m
20. Kingdom of the Planet of the Apes,Adventure,6.9,149000,2h 25m
21. Red One,Adventure,6.3,137000,2h 3m
22. Transformers One,Adventure,7.6,47000,1h 44m
23. Solo Leveling: ReAwakening,Adventure,8.7,6.5,2h 1m
24. Bad Boys: Ride or Die,Adventure,6.5,98000,1h 55m
25. Love Lies Bleeding,Adventure,6.6,56000,1h 44m
26. Damsel,Adventure,6.1,108000,1h 50m
27. Ghostbusters: Frozen Empire,Adventure,6.1,92000,1h 55m
28. The Return,Adventure,6.2,7.4,1h 56m
29. Madame Web,Adventure,4,99000,1h 56m
30. Godzilla x Kong: The New Empire,Adventure,6.1,119000,1h 55m
31. Freaky Tales,Adventure,6.4,363,1h 46m
32. Wallace & Gromit: Vengeance Most Fowl,Adventure,7.5,33000,1h 22m
33. Harold and the Purple Crayon,Adventure,5.7,7.8,1h 30m
34. Attack on Titan the Movie: The Last Attack,Adventure,9.3,14000,2h 25m
35. Spaceman,Adventure,5.7,42000,1h 47m
36. Uglies,Adventure,4.7,32000,1h 40m
37. Kung Fu Panda 4,Adventure,6.3,66000,1h 34m
38. The Garfield Movie,Adventure,5.7,24000,1h 41m
39. Hitpig,Adventure,5.1,825,1h 26m
40. Kalki 2898 AD,Adventure,7,66000,3h
41. Descendants: The Rise of Red,Adventure,4.7,6.9,1h 31m
42. The Empire,Adventure,5.2,1.2,1h 50m
43. Atlas,Adventure,5.6,55000,1h 58m
44. Survive,Adventure,4.6,2000,1h 30m
45. Rebel Moon - Part Two: The Scargiver,Adventure,5.3,59000,2h 2m
46. Spellbound,Adventure,5.7,6.3,1h 49m
47. Arthur the King,Adventure,7,33000,1h 47m
48. Winner,Adventure,6.5,2.3,1h 43m
49. Monster Summer,Adventure,5.7,3.5,1h 37m
50. Saving Bikini Bottom: The Sandy Cheeks Movie,Adventure,3.7,3.7,1h 22m
1. Anora,Comedy,7.6,147000,2h 19m
2. Moana 2,Comedy,6.7,86000,1h 40m
3. A Real Pain,Comedy,7.1,75000,1h 30m
4. Emilia Pérez,Comedy,5.4,84000,2h 12m
5. Sonic the Hedgehog 3,Comedy,6.9,52000,1h 50m
6. The Ministry of Ungentlemanly Warfare,Comedy,6.8,131000,2h 2m
7. Deadpool & Wolverine,Comedy,7.6,479000,2h 8m
8. The Day the Earth Blew Up: A Looney Tunes Movie,Comedy,6.9,1.6,1h 31m
9. Borderlands,Comedy,4.7,45000,1h 41m
10. Paddington in Peru,Comedy,6.7,17000,1h 46m
11. Saturday Night,Comedy,6.9,29000,1h 49m
12. Night of the Zoopocalypse,Comedy,6.2,311,1h 31m
13. Despicable Me 4,Comedy,6.2,62000,1h 34m
14. Riff Raff,Comedy,6.3,791,1h 43m
15. Old Guy,Comedy,5.1,1.6,1h 34m
16. The Fall Guy,Comedy,6.8,216000,2h 6m
17. F*** Marry Kill,Comedy,5.2,1.8,1h 37m
18. Challengers,Comedy,7.1,150000,2h 11m
19. A Different Man,Comedy,6.9,27000,1h 52m
20. Kinds of Kindness,Comedy,6.5,58000,2h 44m
21. Beetlejuice Beetlejuice,Comedy,6.7,143000,1h 45m
22. Inside Out 2,Comedy,7.5,211000,1h 36m
23. Fly Me to the Moon,Comedy,6.6,48000,2h 12m
24. Thelma,Comedy,7,21000,1h 38m
25. Red One,Comedy,6.3,137000,2h 3m
26. Friendship,Comedy,7.5,205,1h 40m
27. Nightbitch,Comedy,5.6,18000,1h 39m
28. Bad Boys: Ride or Die,Comedy,6.5,98000,1h 55m
29. Superboys of Malegaon,Comedy,8,1000,2h 7m
30. My Old Ass,Comedy,6.9,37000,1h 29m
31. IF,Comedy,6.4,57000,1h 44m
32. It's What's Inside,Comedy,6.6,40000,1h 43m
33. Ghostbusters: Frozen Empire,Comedy,6.1,92000,1h 55m
34. The Killer's Game,Comedy,5.7,16000,1h 44m
35. Argylle,Comedy,5.6,91000,2h 19m
36. The Idea of You,Comedy,6.3,72000,1h 55m
37. Kneecap,Comedy,7.6,16000,1h 45m
38. Spermageddon,Comedy,5.7,586,1h 20m
39. Rumours,Comedy,5,4.2,1h 44m
40. Mean Girls,Comedy,5.6,37000,1h 52m
41. The Union,Comedy,5.4,52000,1h 47m
42. Snack Shack,Comedy,7,11000,1h 52m
43. Eephus,Comedy,7.1,252,1h 38m
44. Freaky Tales,Comedy,6.4,363,1h 46m
45. My Dead Friend Zoe,Comedy,7.3,1000,1h 43m
46. Hard Truths,Comedy,7.3,4.4,1h 37m
47. Wallace & Gromit: Vengeance Most Fowl,Comedy,7.5,33000,1h 22m
48. Distant,Comedy,5.7,2.9,1h 27m
49. Y2K,Comedy,4.9,9.7,1h 31m
50. Harold and the Purple Crayon,Comedy,5.7,7.8,1h 30m
1. Emilia Pérez,Crime,5.4,84000,2h 12m
2. Trap,Crime,5.8,129000,1h 45m
3. Longlegs,Crime,6.6,178000,1h 41m
4. Pushpa: The Rule - Part 2,Crime,6.1,54000,3h 21m
5. The Order,Crime,6.8,37000,1h 56m
6. Juror #2,Crime,7,91000,1h 54m
7. Despicable Me 4,Crime,6.2,62000,1h 34m
8. Riff Raff,Crime,6.3,791,1h 43m
9. MaXXXine,Crime,6.3,67000,1h 43m
10. The Beekeeper,Crime,6.3,152000,1h 45m
11. Carry-On,Crime,6.5,159000,1h 59m
12. Rebel Ridge,Crime,6.8,85000,2h 11m
13. Wolfs,Crime,6.5,78000,1h 48m
14. The Crow,Crime,4.7,32000,1h 51m
15. The Seed of the Sacred Fig,Crime,7.6,12000,2h 47m
16. Bad Boys: Ride or Die,Crime,6.5,98000,1h 55m
17. Love Lies Bleeding,Crime,6.6,56000,1h 44m
18. Lucky Baskhar,Crime,8,30000,2h 28m
19. Monkey Man,Crime,6.8,90000,2h 1m
20. Freaky Tales,Crime,6.4,363,1h 46m
